Typ,Gemeindename,AnzahlHardware
Stadt,Aalen,0
Gemeinde,Abstatt,0
Gemeinde,Abtsgmünd,0
Gemeinde,Achberg,0
Stadt,Achern,0
Gemeinde,Achstetten,0
Gemeinde,Adelberg,0
Gemeinde,Adelmannsfelden,0
Stadt,Adelsheim,0
Gemeinde,Affalterbach,0
Gemeinde,Aglasterhausen,0
Gemeinde,Ahorn,0
Gemeinde,Aichelberg,0
Gemeinde,Aichhalden,0
Gemeinde,Aichstetten,0
Stadt,Aichtal,0
Gemeinde,Aichwald,0
Gemeinde,Aidlingen,0
Gemeinde,Aitern,0
Gemeinde,Aitrach,0
Gemeinde,Albbruck,0
Gemeinde,Albershausen,0
Stadt,Albstadt,0
Gemeinde,Aldingen,0
Gemeinde,Alfdorf,0
Gemeinde,Allensbach,0
Gemeinde,Alleshausen,0
Gemeinde,Allmannsweiler,0
Gemeinde,Allmendingen,0
Gemeinde,Allmersbach im Tal,0
Stadt,Alpirsbach,0
Gemeinde,Altbach,0
Gemeinde,Altdorf,0
Gemeinde,Altenriet,0
Stadt,Altensteig,0
Gemeinde,Altheim,0
Gemeinde,Altheim (Alb),0
Gemeinde,Althengstett,0
Gemeinde,Althütte,0
Gemeinde,Altlußheim,0
Gemeinde,Altshausen,0
Gemeinde,Ammerbuch,0
Gemeinde,Amstetten,0
Gemeinde,Amtzell,0
Gemeinde,Angelbachtal,0
Gemeinde,Appenweier,0
Gemeinde,Argenbühl,0
Gemeinde,Aspach,0
Stadt,Asperg,0
Gemeinde,Assamstadt,0
Gemeinde,Asselfingen,0
Gemeinde,Attenweiler,0
Gemeinde,Au,0
Gemeinde,Au am Rhein,0
Gemeinde,Auenwald,0
Gemeinde,Auggen,0
Stadt,Aulendorf,0
Stadt,Backnang,0
Gemeinde,Bad Bellingen,0
Gemeinde,Bad Boll,0
Stadt,Bad Buchau,0
Gemeinde,Bad Ditzenbach,0
Stadt,Bad Dürrheim,0
Stadt,Bad Friedrichshall,0
Stadt,Bad Herrenalb,0
Stadt,Bad Krozingen,0
Stadt,Bad Liebenzell,0
Stadt,Bad Mergentheim,0
Gemeinde,Bad Peterstal-Griesbach,0
Stadt,Bad Rappenau,0
Gemeinde,Bad Rippoldsau-Schapbach,0
Stadt,Bad Säckingen,0
Stadt,Bad Saulgau,0
Gemeinde,Bad Schönborn,0
Stadt,Bad Schussenried,0
Stadt,Bad Teinach-Zavelstein,0
Gemeinde,Bad Überkingen,0
Stadt,Bad Urach,2
Stadt,Bad Waldsee,0
Stadt,Bad Wildbad,0
Stadt,Bad Wimpfen,0
Stadt,Bad Wurzach,0
Stadt,Baden-Baden,0
Gemeinde,Badenweiler,0
Gemeinde,Bahlingen am Kaiserstuhl,0
Gemeinde,Baienfurt,0
Gemeinde,Baiersbronn,0
Gemeinde,Baindt,0
Gemeinde,Balgheim,0
Stadt,Balingen,0
Gemeinde,Ballendorf,0
Gemeinde,Ballrechten-Dottingen,0
Gemeinde,Baltmannsweiler,0
Gemeinde,Balzheim,0
